private String name,private int A,private int B,private int C,private int D,private int E,private int F,private int G,private int H,private int I,private int J,private int K,private int L,private int M,private int N,private int O,private int P,private int Q,private int R,private int S,private int T,private int U,private int V,private int W,private int X,private int Y,private int Z,private int AA,private int AB,private int AC,private int AD,private int AE,private int AF,private int AG,private int AH,private int AI,private int AJ,private int AK,private int AL,private int AM,private int AN,private int AO,private int AP,private int AQ,private int AR,private int AS,private int AT,private int AU,private int AV,private int AW,private int AX,private int AY,private int AZ,private int BA,private int BB,private int BC,private int BD,private int BE,private int BF,private int BG,private int BH,private int BI,private int BJ,private int BK,private int BL,private int BM,private int BN,private int BO,private int BP,private int BQ,private int BR,private int BS,private int BT,private int BU,private int BV,private int BW,private int BX,private int BY,private int BZ,private int CA,private int CB,private int CC,private int CD,private int CE,private int CF,private int CG,private int CH,private int CI,private int CJ,private int CK,private int CL,private int CM,private int CN,private int CO,private int CP,private int CQ,private int CR,private int CS,private int CT,private int CU,private int CV
Test10,1335153287,-1490731301,-836732374,921374070,416543259,-767501149,-1710015170,-577160883,-794861750,-876785712,1700294825,-603219766,-977627578,1842931233,-951480856,780990404,-251341823,483860217,-708741586,-651032533,1171652011,1547687578,1573031818,1509040733,-1463550856,-1039568750,159322185,-2045036873,1903923622,-99175052,1812995224,-1759853459,-846993730,2110281675,281975406,-1881216610,1232363033,183325772,-569712728,212852898,412641189,1918673226,1997446772,1553170086,1349869033,1815470446,-1842957325,-1437497477,1650634566,359533990,321436954,1162406570,1503975295,455625309,-205351464,1689468363,1015016826,1672109037,-954194307,1005914134,-625030841,-306221487,-933878950,-378621126,276301409,1297294367,-1731812700,-869583507,1353344564,2050629812,-140596067,-1928935228,752768735,-474185296,198846965,-1497807932,-1919770054,-339084380,959304812,1255466808,-1223259878,117870090,-1408430660,293844292,-673984813,-296091019,-1141129034,735749562,1278179582,849062665,1136308395,-1506063445,-1722792069,1855394860,249486093,1320271937,931539129,-1908564611,1380634452,-1010440500
Test11,-16896460,-1499189756,-888463066,403987993,-1977432769,-1733593173,-209364815,-143346934,1354774531,-752583187,-1006959269,-927487901,167885511,-1742056500,-1890003299,1818339297,-103052943,-142260984,-899424468,-764235632,-457516725,2088427149,1473603161,546199134,849126154,1269926444,1645734841,-873748758,1295550732,84259214,-782352120,949880737,-67281439,1218026597,620224074,-817536756,-1334767859,-850887197,1599329330,1279601506,-1503791093,-868719249,-279576376,1703358564,-111943277,1489897110,364407365,-288876950,1822634271,2030079039,1550640193,-575076168,1885146283,1463479074,-560897265,136515861,-984910147,1205561211,-1949589145,334362270,528524964,540623354,1476852806,-860506665,-347266813,1059307517,-1562793711,968287746,1197495441,-699596032,-1367037440,1116446643,-925909223,1682334547,-2874183,649574564,1593630408,-1227144690,475791163,1285318853,-569216089,1223853634,-1645811971,358132887,1263916389,-588367503,-1498667434,631044282,-149855910,134477631,-1136464865,1959662276,-123124536,595600488,630188438,222045011,-2101598365,563159284,1951689349,-1494198939
Test12,1128626706,-480843351,-1546368093,-1411082522,651128311,1757863105,-1921354951,362696330,706664365,-4549155,-1464225784,1516116701,-1146912048,561780025,-2032000407,144961175,-1717847615,345024032,209818550,199761460,864159146,2124888225,-2107154456,174011076,-1186436417,-1616502142,-1899309695,312972799,290759879,-299926668,1973235628,1990028188,-1956304934,-1372419960,-2080469343,1468148706,-88151700,22276833,-933260722,74109822,-645909111,-287472213,-1789953229,-406799209,-1577773982,1306677067,1385231757,-1194429153,-577895417,131170775,-1123159370,-334289300,-1142814091,1412947656,2095396043,-1246993914,-751737901,-1213924882,1599238287,902784962,-143765256,1436925859,584853902,-985122545,-1591358927,-1759204797,-1656705915,-1870262897,-218490304,110320347,-1236415488,1478622441,385721766,1229490464,-949664955,-280628771,-44277212,884506273,254403440,-400082280,-811154817,-2049076928,569372383,1579764297,133765764,-863416098,1145915087,1500676083,-1519993013,-1297195947,63721287,1510344324,-1883215937,608047531,-460411596,-32300505,-935227043,-1372287613,-1210367275,-782532906
Test13,1797844283,371240406,-379253159,1469535282,-201582261,102566883,1842269893,-1697156458,1534536160,1057628516,-959868133,-1907192471,-148060303,321457409,-160786504,-1626581325,-136059747,-1455838711,238491133,-610648078,-1190375313,1530261343,-47519183,1278407726,158574818,1190119858,887698342,-781000885,804811175,695592176,-275492071,739333789,-1231989979,-478734085,800910174,2137470657,1188742592,-2078052963,-928135108,-1654584662,-306336419,-1669011015,-1051406443,-243003398,-2082100954,-2043043388,-2056822582,-1018254190,1457920906,-1994671758,-1990015395,1806838124,1599680135,-1426371405,485465559,-1225996633,-1288415189,-296127520,507075051,283671779,-1656609961,-934095055,1983464155,-407633969,-76988218,1172014451,-1140418278,1525732863,-1452989363,1280639478,-97272270,1634376194,-1122717084,1688387019,1599768551,-457656141,-389561884,-781160401,276308380,1594704079,792491537,1151402561,1926963190,-1905748024,814331099,1142161915,174893759,731064280,927219040,1314574431,-1840783092,-272934056,369107637,-1546256656,-1088365664,-760776367,522759910,-2092527517,1194258834,1649424211
Test14,-1740312006,-513404778,1617175342,-1934486395,241140411,-1798064191,234213145,-1427058179,-1213452300,2043940074,-539421257,583638097,1861136124,-951862370,1679265488,1845869166,-338591053,922063069,-1861798543,-1066871385,1217176651,2059326293,448441872,682831632,221229066,-336303405,-1817359629,-905882099,1138465357,1481542390,-1426033967,1566061605,863252687,474993957,-136950343,1489338907,2014440491,1806181826,-743449550,-9831873,1040242079,987398303,2071125155,-314319871,1570866450,-437202767,1511924469,-270166842,944601943,-1786810622,930694774,-1012030978,1085299891,-521820948,1651952128,-1999503242,-1877225572,299343235,-1865538983,-169689878,1450443715,1024555603,1975860957,-879986210,531572052,-1780842678,1199011930,1084030637,683819132,-1594193417,-161347014,-1025956895,1652185387,1462978549,-1931707929,-766201659,1667808027,-1301159775,1973784682,250740281,-956971504,1392838162,-1609315755,62419653,790477408,-563175094,402809315,1594764271,-191936075,-551055960,-1920837795,986867920,773582865,1730090913,-152495170,-786724380,149313810,-1658375505,1431093658,-2093696478
Test15,-558148234,-82208120,974641211,-844851892,1137059042,378622867,-362982132,-1765318777,-1600579618,-875086185,1949773626,-82009554,1435487780,-245910603,838898071,739328482,-652176102,-186492776,-1461270846,1359765989,-2012829029,-95115798,1784300421,1612097704,-1131976707,140693513,1151038333,685291938,1169201487,993658618,607464448,-81332126,277775586,-1057865315,955312442,1730013415,406611722,-260765662,1257191833,557039919,-694524379,736227771,1649474411,2111373325,312492764,2060503443,-1954262844,-1215619777,720652456,442273533,1444048292,349808319,-1075690856,1474413808,-906386343,1796169561,-817465264,1259193523,-1166978014,-1690946947,465368916,-1014757420,984325653,-884600490,-962220922,-1992712866,1409483842,-507769574,-829287955,-470401462,591419159,1608008355,565802167,-244468427,109548805,597060415,-497215615,1230736723,1027645539,-144824637,-1714047788,-1489617757,557510547,-1884990746,1788356083,414072164,848927586,-1349516341,-501796397,-1971270969,1896312756,2050945503,625264746,1902982373,-1299652000,1614180581,-1512755668,-426311694,-1120136104,-598391730
Test16,-276112430,2089697971,733298957,594797773,66721372,-1478821843,-2052571119,-1439036629,77562713,444545182,1316355325,-1354656681,-149602970,1622117808,322898324,-646245696,1642474739,1430246892,411741736,356098279,-2110281396,1228303212,782507068,-1567569617,1467852247,-1830911532,1371907946,1191745271,-1427247206,1892544386,440674439,-1470552854,1084964608,65132036,258666244,1864383637,1089020380,-1955013174,-1076173673,882432825,-1680473682,-261555940,172345113,-964317214,875088420,546955853,1535679665,-1510152520,1040446434,1443678513,1370932786,299160980,-1028130939,1672274891,1356420033,-2125046315,705391845,-1077160373,742162363,1490229108,391076506,-1427626442,1079997397,1426757974,-1477805631,1619733734,-1002914685,-1121226015,175010304,1257192757,-423358818,-1024349487,-1795796538,1073082485,-1779154112,-1909598388,-1749170473,-1711157598,-932270606,-1843584205,-1982539001,-1194998310,1914908937,-659827526,1103903045,5252365,791065676,-1623119558,1601322715,-1631711760,1315693018,-1152607675,242834675,1180668470,-1991226038,-541466629,-798716324,568586242,196241684,-1192082277
Test17,-23140978,-978804330,-861475282,1885805916,1886353131,-339921840,-802514438,470449277,-473226425,-1160176937,412575326,-690458469,-132512086,44035729,-1854758860,1055155522,1058967380,-1134308264,1989902309,813922501,-293043968,-1235421076,-247977904,912644945,1688103021,1128813994,1094266863,150899520,269239065,953105406,-1658185668,-306576726,1989041999,1195133461,1820809041,-176575934,1813756004,-1944465833,-113715250,986916190,-324840644,715178772,-1520823554,-521155753,430202643,530504188,-110679748,-723918318,1126243961,-1779610924,-25650029,701132255,-1930896226,-872851097,-1230138972,1591978625,506819279,1836762810,-1384203572,1324450189,240984640,-578575998,2024952197,-360017417,-1507736053,-1076352550,726385164,-276718359,-1909284488,-2076918736,-1537741500,1866492886,554061439,1712519040,-434035494,1302496207,344363146,1323209413,1029981609,-1267254763,-681570434,312317355,-1781361570,1513618926,1516519164,1326901384,1875001439,368634812,546043363,-1229099123,749318376,-1939407542,-1408402919,576005432,-484441993,1527278441,216073355,2041243660,1373588074,1831408827
Test18,289079665,1678700420,1911271141,-1843003954,-2093772586,-137552828,1288450297,-865583508,-599323817,-69363822,988861186,-2070876112,-808218838,599488003,1244894544,173863516,762567010,1375097209,-350733560,-572483862,-1822953616,-303100340,-280430260,-1121415968,-1413456660,-1283506234,-1962117991,-1790010392,-1211561579,-884088875,1079226481,1072039199,-1325601898,395005435,314889529,2139921709,-1828972021,1308215688,-82710429,1705702293,1796342722,80141067,-2093411633,826219341,-1523462587,1192059142,-1489145490,-1607276400,11215128,-1893780512,1287613480,-2089306125,1934221630,1395692831,-908878081,1731138230,-1682464510,1139727830,1456955764,482919516,-736245773,1194270811,-637315031,-1837877890,1483978543,1652076861,342031559,1523326939,-1462473244,-1392850060,-790478815,-1501499470,2079027732,-306461734,-1383028071,-650680749,1614872983,1690533850,1867226818,-938061325,19517286,-68541594,1861722695,-1663603008,-711012075,-1995494866,-1618292470,685557045,-2138709855,655122446,1537793680,-1710417490,322713195,-402953017,-1431090789,1146044734,-1329594492,698083057,-164190696,-408588352
Test19,1105630251,-1089265104,1405624635,828822316,1172378259,-2128728923,318022632,1881608235,-1775672856,-362696792,1293236052,-1564445716,-1106386540,1745528755,-873295892,1559162680,1555187901,1655580576,-430185867,-331927869,-1061127662,-1752851689,2104715124,-944347963,1600933831,-1173865407,1152725199,-1976789047,286893021,146387137,132330931,2019330757,-1121707866,1091633635,-280250184,871993961,-1204001400,1557816342,1921870915,-1777538117,-171496447,-1565949545,-28378836,2017552355,-119170838,-1441186705,1888865184,1008566595,1569740287,250682271,-1010677177,1059139018,-776892514,722982808,938859432,-734133622,1639125710,-2118272528,1477008844,1400208519,1338099587,-1247755181,-1870597087,-254639407,156764959,1274532535,240406433,1102083540,-1212895428,-323932973,-13576909,596860909,-436428632,-897303855,2001552977,1878661953,-1759413584,-652390079,2017251306,-171147062,914852513,547735633,1118413704,1351939250,621414283,-212217285,280854197,-1193942045,1487176264,-553597698,41993371,-188676386,-202059332,-1338782896,-1092678166,1587510732,-1002897571,-1146474286,-1920314626,328669650
Test20,-593430539,1367457157,1441010752,-345348183,-1258027866,-487795588,2141594827,-845787283,881217582,320293331,-1854211245,1527340468,1455094892,-206691361,575647042,316541410,-678196189,-880428122,841480227,88247738,-1070226180,1839001745,-656474813,-1756487112,1222405585,-1082956961,-490368107,-1507019361,1249578280,848555101,112808918,-1392021811,841616381,-1248608045,-581057808,815894997,-658399036,-1076233279,1205026467,856070607,-694212947,1351253451,199069794,2048891881,1991525673,-282437519,-1104786822,47400898,-1595765844,1396914306,-1352313991,-1598744329,1250854324,1655604178,687621069,-310538755,-780039414,-1148707286,1865906603,-993101776,954323016,978585983,1966212913,1701034284,1987869594,-1914612377,243785422,1375863131,-1072315960,1411912136,2010374625,1736074191,1093619571,-989382446,-290605664,-1691167918,-2114616674,614646830,-1900707269,336649402,-2079836048,376529271,-243662784,-5950848,-1445186761,655129065,-186156992,-1404314221,-1648468816,617382231,1169463475,668870506,-565024635,23511138,-1288944104,1456509272,1543150358,1214320103,637651296,711486755
Test21,-1255229316,-1165808711,919535756,593095382,1805934538,1286912655,-1733134956,-1848070186,-1316268395,-869140160,-1015185525,1110592306,-1052473162,1643168557,-851389953,1319836479,-1423785907,1857192445,654843557,1238071396,3168777,131532431,-897864395,-1730922190,518355367,902790444,1344867731,-1309744201,1265533624,-414191364,-1096660945,-1507909613,1356519846,-78572869,-1414188883,1631600715,-1752682248,1725642412,1760739015,-474812067,1470031572,497991117,1977127282,1191995795,-2001193275,1164795467,-1033043905,307865628,571425726,1294663480,2134925060,-2137089576,623525471,-1367073926,1103910843,1046624114,1207511926,2093146118,1079279273,1989537971,658247368,159086926,-721845054,221772053,-19235312,261833720,1994566731,-1275770473,-2014126009,1030608079,-260611135,1141468111,-603464411,114691070,-186832135,-169385403,-300498713,1109960571,-477354360,-1139260931,633985107,-956757824,-1190197916,410079573,178653432,-1644158528,-165077813,848085009,1430464954,122731800,-454566301,294472884,-1886199923,-544500347,-1278014302,-2098828527,322044544,-1594298218,-1530834577,560447520
Test22,1509740285,966045858,755833609,-463206635,1776183119,1047859707,-1438653657,-1145523282,-1655150237,650348387,-418888607,-1275271732,516398290,1610770878,1790017998,1936949829,1496775966,1641115401,-1483119379,767919352,652387387,-1005708150,-309619256,1598480417,664820049,-1907578807,1236783446,970554605,-260323392,108592574,-1721064927,44511568,2117116516,-1523131957,1292271400,438615830,-837994727,882061803,406156550,-1000525768,-798214527,-1744282964,-517358254,1470506096,631026692,653893978,491120713,1624433679,-1644453352,-1545450244,-1007977302,-955954162,678579906,-1379976572,-1833356831,-1818695838,1539417179,2113505345,1735403623,-577386093,-1086705001,-24378216,1967768680,1759379087,1392329667,-645639182,2080247461,-652106821,115573325,1604059640,1884602267,1154678346,99218057,-961220099,655972581,1846878930,852378802,-1110973764,502067422,-1271594468,1703920430,294320450,-403270518,-924455109,-384147179,-1224636627,-1457691723,-2038959393,682994931,377847830,1736821596,-1328578582,908700621,-1511108021,1925022284,-2025104061,-534257566,2055214785,949496841,-2093033238
Test23,78054066,1720273992,1131988464,1785960525,-121361469,-767258112,-622706017,-1870161447,-1616610910,-554232565,-2014578796,573651923,-1208062041,-1919179389,702333204,465329255,614635261,-755652946,234487885,-441391359,1674519394,1759923824,-1094330434,-524000549,-208494550,730982401,-1128642090,-1573038378,859695496,1066012127,-1287316005,-1928817010,455472656,-1475539196,-895308019,1865272488,1492792439,1488581467,-1603007989,139581037,2013036957,-535047312,131005556,-506805092,1974729421,795244391,-1404241200,-994929285,-1115410365,-1695977169,-326631247,-878511057,69630958,1163798007,-171782379,-1919563443,-409239434,-1048020256,1047276814,51038384,-586738561,-924247821,-1241313628,2001545356,-1538712017,-1631880108,1222362618,1388297667,-984997138,-1284947272,-73096530,-1581729417,488279916,-1321243372,-678780026,-1830116385,359660519,-1899394922,-87744952,2044833886,670822573,285340376,1549369832,989445841,-322179360,1053142355,-1957259544,128097832,1335542137,1257075729,-338107909,1896703031,267868814,39127974,-1793061652,-1648955698,1403371735,-1573586336,102201790,-1192173050
Test24,-2048732818,1623335101,-684563437,-204752931,-1183065642,-649468643,1939748049,-371608315,1127697981,-583473480,-1361843198,1265358584,-971235323,-1741871,-658782981,-10023089,-1208387456,450232107,1076132032,-1042194348,-1033315333,1188032700,58835622,-1348751659,-543098627,-1837060704,-1459877062,1516657979,-1156601904,-2058345648,1662344545,1825309658,-2011832768,454664723,-1262089792,-1656825207,94935970,-278138189,-1992975267,-1615157387,-532279016,1271436148,-564459386,-510245070,-1260484078,2003128385,286863089,1935483410,54843671,796043816,1260069412,2033853114,-843952956,2015150600,-922366697,-2130509327,556167445,-677135735,-792010729,-24380485,-2144657181,-1857829557,-2042419220,148455846,453618605,477384545,99922749,-163266973,-570027110,294191360,-1656001997,671350423,-469653570,1043760243,-758055843,-807185677,-1976140132,-433567662,-1839511341,-1429700734,-1127115541,754168050,-151608163,283151425,-1538681700,-897028833,952345429,-1367241996,1823246364,-251338232,2119583242,537028151,-1023476266,1573970554,564048999,1146621394,-311730181,256910673,776070164,-1217883054
